Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO PETROBRAS VERGEL,PETROBRAS,AVENIDA CIUDAD DE CALI No. 13A-72,GASOLINA EXTRA OXIGENADA,9298.0,A,AVENIDA CIUDAD DE CALI No. 13A-72,"AVENIDA CIUDAD DE CALI No. 13A-72, Bogota, d.c., Colombia","(4.65475, -74.14081)",4.65475,-74.14081
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS COMBUSCOL JASA,BIOMAX,CALLE 76 A SUR No. 66 - 02,GASOLINA CORRIENTE OXIGENADA,9259.0,A,CALLE 76 A SUR No. 66 - 02,"CALLE 76 A SUR No. 66 - 02, Bogota, d.c., Colombia","(4.60061, -74.16403)",4.60061,-74.16403
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS COMBUSCOL JASA,BIOMAX,CALLE 76 A SUR No. 66 - 02,BIODIESEL EXTRA,9084.0,A,CALLE 76 A SUR No. 66 - 02,"CALLE 76 A SUR No. 66 - 02, Bogota, d.c., Colombia","(4.60061, -74.16403)",4.60061,-74.16403
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO GUAYMARAL,PETROMIL,KILOMETRO 16 VIA GUAYMARAL,BIODIESEL EXTRA,9250.0,A,KILOMETRO 16 VIA GUAYMARAL,"KILOMETRO 16 VIA GUAYMARAL, Bogota, d.c., Colombia","(4.81402, -74.05928)",4.81402,-74.05928
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO GUAYMARAL,PETROMIL,KILOMETRO 16 VIA GUAYMARAL,GASOLINA EXTRA OXIGENADA,17500.0,A,KILOMETRO 16 VIA GUAYMARAL,"KILOMETRO 16 VIA GUAYMARAL, Bogota, d.c., Colombia","(4.81402, -74.05928)",4.81402,-74.05928
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO GUAYMARAL,PETROMIL,KILOMETRO 16 VIA GUAYMARAL,GASOLINA CORRIENTE OXIGENADA,9350.0,A,KILOMETRO 16 VIA GUAYMARAL,"KILOMETRO 16 VIA GUAYMARAL, Bogota, d.c., Colombia","(4.81402, -74.05928)",4.81402,-74.05928
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO CORABASTOS,PETROBRAS,AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2,GASOLINA CORRIENTE OXIGENADA,8509.0,A,AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2,"AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2, Bogota, d.c., Colombia","(4.6299, -74.16807)",4.6299,-74.16807
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO CORABASTOS,PETROBRAS,AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2,BIODIESEL EXTRA,8606.0,A,AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2,"AVENIDA CARRERA 86 No. 42 F-18 SUR IN 2, Bogota, d.c., Colombia","(4.6299, -74.16807)",4.6299,-74.16807
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO MILENIUM GAS CALLE 13,MOBIL,AVENIDA CALLE 17 No. 78G-11,BIODIESEL EXTRA,9208.0,A,AVENIDA CALLE 17 No. 78G-11,"AVENIDA CALLE 17 No. 78G-11, Bogota, d.c., Colombia","(4.65358, -74.13098)",4.65358,-74.13098
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO MILENIUM GAS CALLE 13,MOBIL,AVENIDA CALLE 17 No. 78G-11,GASOLINA EXTRA OXIGENADA,18600.0,A,AVENIDA CALLE 17 No. 78G-11,"AVENIDA CALLE 17 No. 78G-11, Bogota, d.c., Colombia","(4.65358, -74.13098)",4.65358,-74.13098
